   MainThread:14:46:00.030 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:00.265 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:00.335 scanner.py                                215 DEBUG    | 8 devices found. Watcher status: <BluetoothLEAdvertisementWatcherStatus.STOPPED: 3>.
   MainThread:14:46:00.335 client.py                                  85 WARNING  | Failed to find a device in 10 seconds. Retrying #3
   MainThread:14:46:00.335 bleak_wrapper.py                          120 INFO     | Scanning for GoPro [A-Z0-9]{4} bluetooth devices...
   MainThread:14:46:00.388 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:00.388 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: KS03~04A309.
   MainThread:14:46:00.514 scanner.py                                109 DEBUG    | Received 5C:12:64:76:86:3C: .
   MainThread:14:46:00.514 scanner.py                                109 DEBUG    | Received 5C:12:64:76:86:3C: .
   MainThread:14:46:00.654 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:00.654 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:00.754 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:00.869 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:46:01.001 scanner.py                                109 DEBUG    | Received 23:01:01:04:A3:09: .
   MainThread:14:46:01.110 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:01.954 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:02.058 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:02.413 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:46:02.413 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:02.423 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:02.540 scanner.py                                109 DEBUG    | Received DC:B7:13:BE:A5:8C: .
   MainThread:14:46:02.909 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:02.922 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:02.926 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:03.248 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:03.948 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
   MainThread:14:46:03.959 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:04.071 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:04.181 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:04.181 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:04.668 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: .
   MainThread:14:46:04.672 scanner.py                                109 DEBUG    | Received 76:B2:70:D7:BB:BB: LE-Acrux.
   MainThread:14:46:04.783 scanner.py                                109 DEBUG    | Received 70:80:46:4E:B9:D1: .
   MainThread:14:46:04.893 scanner.py                                109 DEBUG    | Received 7B:92:6E:D9:DA:A7: .
   MainThread:14:46:05.007 scanner.py                                109 DEBUG    | Received 09:F6:42:95:1B:77: .
